State,Fidelity,Trace Distance,Bloch Error
|0>,1.0,0.022203603311174516,0.04440720662234903
|1>,1.0,0.02024845673131659,0.04049691346263317
|+>,1.0,0.019416487838947602,0.03883297567789521
|->,1.0,0.03671511950137164,0.07343023900274329
(|0>+i|1>)/√2,0.0,1.000476386527938,2.000952773055876
